blue_win,game_duration,blue_kills,blue_deaths,blue_assists,blue_gold,blue_gold_15,blue_towers,blue_dragons,blue_barons,blue_vision_score,red_kills,red_deaths,red_assists,red_gold,red_gold_15,red_towers,red_dragons,red_barons,red_vision_score,kill_diff,gold_diff,gold_diff_15,tower_diff,dragon_diff,source
1,10,10,10,10,19155.0,28552.5,0,0,0,20,10,10,10,18795.0,28372.5,1,0,0,14,0,120,180.0,-1,0,kaggle
1,10,10,9,11,18607.0,27619.5,0,1,0,23,9,10,12,18025.0,27328.5,0,0,0,15,1,194,291.0,0,1,kaggle
1,10,9,2,21,22051.0,27705.0,0,1,0,18,2,9,1,11308.0,22333.5,0,0,0,18,7,3581,5371.5,0,1,kaggle
0,10,6,13,9,12669.0,24436.5,0,0,0,17,13,6,12,23535.0,29869.5,0,0,0,148,-7,-3622,-5433.0,0,0,kaggle
1,10,6,6,9,15998.0,24451.5,0,1,0,52,6,6,11,16907.0,24906.0,0,0,0,25,0,-303,-454.5,0,1,kaggle
0,10,9,8,7,15888.0,25774.5,0,1,0,15,8,9,10,19773.0,27717.0,0,0,0,19,1,-1295,-1942.5,0,1,kaggle
0,10,1,5,1,10355.0,20041.5,0,0,0,40,5,1,4,19373.0,24550.5,0,1,0,15,-4,-3006,-4509.0,0,-1,kaggle
1,10,2,1,4,15897.0,22210.5,0,0,0,43,1,2,1,12627.0,20575.5,0,1,0,18,1,1090,1635.0,0,-1,kaggle
1,10,4,3,1,15519.0,22792.5,0,1,0,17,3,4,2,14547.0,22306.5,0,0,0,17,1,324,486.0,0,1,kaggle
1,10,3,7,2,12763.0,22182.0,0,0,0,12,7,3,6,18838.0,25219.5,0,1,0,20,-4,-2025,-3037.5,0,-1,kaggle
0,10,7,8,8,16188.0,24906.0,0,0,0,45,8,7,11,17436.0,25530.0,0,1,0,23,-1,-416,-624.0,0,-1,kaggle
0,10,4,4,2,15723.0,23491.5,0,0,0,27,4,4,5,15537.0,23398.5,0,1,0,41,0,62,93.0,0,-1,kaggle
0,10,5,7,3,16192.0,24388.5,0,0,0,20,7,5,12,16393.0,24489.0,0,1,0,42,-2,-67,-100.5,0,-1,kaggle
1,10,11,4,13,24879.0,29574.0,0,1,0,23,4,11,4,9390.0,21829.5,0,0,0,15,7,5163,7744.5,0,1,kaggle
