match_id,blue_win,blue_champ_1,blue_champ_2,blue_champ_3,blue_champ_4,blue_champ_5,red_champ_1,red_champ_2,red_champ_3,red_champ_4,red_champ_5
EUW1_7366196951,0,875,91,3,222,57,24,19,90,202,63
EUW1_7366054082,1,48,28,50,18,37,86,56,105,22,267
EUW1_7366016620,1,36,950,99,523,143,887,141,517,29,267
EUW1_7363244054,1,875,143,238,51,267,10,200,3,202,245
EUW1_7359586966,0,6,950,7,22,412,83,17,84,21,12
EUW1_7650292098,0,36,54,166,21,432,887,203,31,51,201
EUW1_7647421713,1,67,54,950,42,143,82,35,518,901,432
EUW1_7623772754,1,2,28,85,147,22,75,56,55,236,267
EUW1_7623749989,0,10,36,99,235,497,75,234,90,22,16
EUW1_7623724430,1,31,54,105,360,50,266,36,84,145,497
EUW1_7623727546,0,86,517,80,202,497,904,75,91,22,526
EUW1_7516278071,0,106,28,893,429,497,98,107,90,523,111
EUW1_7485894364,1,82,203,800,429,526,114,62,103,202,497
EUW1_7485808659,1,240,131,166,51,50,875,200,800,81,412
EUW1_7485746016,0,14,234,142,110,147,54,121,166,134,99
EUW1_7484819223,1,83,254,101,804,201,887,80,90,21,99
EUW1_7482273303,0,875,122,131,110,99,777,28,711,360,147
EUW1_7482207703,0,27,106,103,145,9,67,887,3,21,22
EUW1_7482100399,0,82,233,1,901,223,24,30,800,110,16
EUW1_7482055998,1,44,48,1,202,555,157,120,103,901,412
EUW1_7475184096,1,83,122,142,81,50,8,35,99,119,412
EUW1_7434727987,0,6,876,157,266,412,875,48,711,222,16
EUW1_7434716302,1,27,121,131,895,99,897,427,142,119,526
EUW1_7404988996,1,875,80,99,15,3,25,234,103,202,111
EUW1_7403652651,0,85,9,45,21,432,58,234,3,202,99
EUW1_7537603970,0,86,875,69,115,25,114,131,517,67,555
EUW1_7537573556,0,10,82,131,67,25,893,35,5,51,267
EUW1_7537497279,1,36,63,84,99,161,122,121,517,360,12
EUW1_7537447081,1,83,59,55,67,53,875,131,45,15,497
EUW1_7533691198,1,39,56,166,145,432,31,121,910,15,25
EUW1_7533660721,0,68,106,157,145,350,14,245,893,21,267
EUW1_7533538574,1,48,106,887,222,117,54,157,84,235,37
EUW1_7533482152,1,36,19,1,221,53,887,11,112,901,99
EUW1_7533439562,0,32,24,777,804,53,6,950,245,115,518
EUW1_7533374200,0,59,102,136,15,412,50,11,8,523,26
EUW1_7531887861,0,14,19,110,81,350,875,254,85,22,53
EUW1_7530933093,0,82,11,90,15,111,23,131,157,901,89
EUW1_7530894092,0,157,28,131,202,267,10,72,90,51,98
EUW1_7529958757,1,62,35,157,901,60,14,59,105,15,143
EUW1_7529922132,1,122,11,136,901,147,86,131,142,22,50
EUW1_7529864897,1,86,20,127,29,54,17,238,161,67,201
EUW1_7529459105,0,83,887,157,119,235,86,245,90,804,412
EUW1_7529417602,0,122,111,910,29,22,98,24,131,81,99
EUW1_7529379426,1,82,75,99,21,235,106,141,777,222,98
EUW1_7529317992,1,31,5,25,222,45,58,106,90,21,235
EUW1_7656068542,1,78,32,36,145,40,240,28,800,360,21
EUW1_7617919206,0,79,131,105,222,267,24,32,134,360,89
EUW1_7615667123,1,875,106,99,523,902,58,62,517,21,147
EUW1_7612008355,1,92,72,142,81,800,127,32,950,222,89
EUW1_7609378230,0,777,876,55,110,117,126,72,134,523,12
EUW1_7605638405,0,875,62,134,67,99,39,245,101,18,555
EUW1_7603129851,1,238,62,910,15,432,86,233,31,222,526
EUW1_7598581295,1,41,32,126,145,902,10,72,80,81,35
EUW1_7596143498,0,31,238,7,15,80,887,72,91,145,35
EUW1_7593889454,0,36,62,134,21,800,517,141,101,29,235
EUW1_7593885969,1,24,62,136,119,25,48,106,90,202,432
EUW1_7593874588,1,164,24,45,145,53,92,107,13,429,25
EUW1_7589454889,1,875,517,134,51,44,122,32,90,119,902
EUW1_7589413039,0,54,517,105,202,117,31,62,99,51,432
EUW1_7582356301,1,83,106,105,222,902,516,35,131,523,201
EUW1_7582301905,1,86,32,517,51,902,19,59,34,29,117
EUW1_7577957460,0,92,107,112,81,63,166,48,134,235,555
EUW1_7577933175,0,14,32,901,523,34,86,113,55,145,35
EUW1_7577921441,1,114,106,910,523,63,24,36,7,51,147
EUW1_7576139253,1,86,11,84,81,412,23,35,103,523,117
EUW1_7398138570,1,84,113,777,51,25,126,234,81,145,63
EUW1_7397446779,0,777,35,142,236,412,8,106,112,51,99
EUW1_7397309721,0,516,106,55,51,555,420,36,711,21,89
EUW1_7397234880,0,6,245,1,145,80,875,234,84,222,412
EUW1_7372254441,0,122,75,31,222,147,223,245,238,235,101
EUW1_7371636491,0,54,106,3,429,412,36,62,45,51,25
EUW1_7361664272,0,517,53,83,51,147,39,102,7,236,143
EUW1_7361664526,0,83,876,55,202,63,106,113,157,222,432
EUW1_7360791277,1,36,233,7,119,101,157,234,112,21,12
EUW1_7360744449,1,10,36,112,145,235,24,950,7,202,53
EUW1_7360622161,1,10,143,112,81,201,54,238,104,51,99
EUW1_7360586556,0,887,32,777,145,223,157,35,161,360,12
EUW1_7314466034,1,122,59,45,222,99,39,106,202,236,267
EUW1_7310889897,0,86,131,800,202,267,164,238,893,901,99
EUW1_7310854731,0,887,104,246,360,235,79,131,157,51,555
EUW1_7310701611,0,86,234,910,81,497,14,876,84,67,32
EUW1_7295592463,1,82,33,84,67,3,6,28,777,21,267
